"neighnorhood","sale.price"
"FIELD",92561
"HOWE",197500
"BRYN MAWR",470000
"BRYANT",229900
"COMO",170000
"LYNNHURST",365000
"WILLARD-HAY",50100
"LIND-BOHANON",81500
"VICTORY",165000
"WAITE PARK",163500
"MCKINLEY",180500
"ARMATAGE",240000
"MORRIS PARK",227100
"FOLWELL",75000
"WEBBER-CAMDEN",174000
"HOWE",168000
"MINNEHAHA",251000
"LIND-BOHANON",175000
"REGINA",290000
"CLEVELAND",159000
"COOPER",120000
"KENNY",380000
"CENTRAL",2000
"MORRIS PARK",165000
"WENONAH",220000
"FOLWELL",126000
"STANDISH",62500
"HOWE",194900
"WAITE PARK",219700
"REGINA",289900
"WILLARD-HAY",175000
"KING FIELD",167300
"STANDISH",224900
"ARMATAGE",244000
"NORTHROP",395550
"ARMATAGE",292500
"MIDTOWN PHILLIPS",210000
"KING FIELD",206000
"COOPER",252500
"LINDEN HILLS",350000
"WENONAH",280500
"MINNEHAHA",175000
"BANCROFT",220000
"HIAWATHA",129500
"HOWE",110000
"HIAWATHA",214000
"HOWE",232000
"ARMATAGE",260000
"HOWE",274000
"FULTON",336000
"SEWARD",225000
"WENONAH",285000
"SEWARD",170000
"PROSPECT PK/E RIVER RD",458000
"HALE",300000
"VICTORY",163697
"CLEVELAND",76500
"HAWTHORNE",173500
"KENNY",240000
"HAWTHORNE",147500
"WILLARD-HAY",165000
"COOPER",340000
"ARMATAGE",214827
"LINDEN HILLS",900000
"VICTORY",170000
"WAITE PARK",352500
"ST ANTHONY EAST",272500
"BRYN MAWR",409000
"HOWE",137000
"CARAG",372500
"MIDTOWN PHILLIPS",98900
"COLUMBIA",190000
"WEBBER-CAMDEN",26000
"REGINA",179600
"LIND-BOHANON",125800
"CLEVELAND",143000
"MIDTOWN PHILLIPS",205000
"SEWARD",125000
"NEAR NORTH",112500
"MIDTOWN PHILLIPS",91000
"ARMATAGE",260000
"KING FIELD",162000
"WHITTIER",299400
"ARMATAGE",309500
"TANGLETOWN",193624
"KING FIELD",640000
"LYNDALE",340000
"WINDOM",325000
"KING FIELD",200500
"LYNNHURST",545000
"VICTORY",175000
"VENTURA VILLAGE",82500
"CENTRAL",150000
"LINDEN HILLS",625700
"COLUMBIA",144000
"AUDUBON PARK",62500
"STANDISH",226000
"TANGLETOWN",485600
"WILLARD-HAY",164000
"FULTON",785000
